s_no,key,num_equality_compares,cumulative_avg
259,passengers,2,1.38
260,expressive,4,1.39
261,quickened,4,1.40
262,expectation,10,1.43
263,furiously,4,1.44
264,suddenly,0,1.44
265,splashing,2,1.44
266,floundering,6,1.45
267,retorted,0,1.45
268,passenger,4,1.46
269,passenger,4,1.47
270,passenger,4,1.48
271,coachman,2,1.48
272,passengers,2,1.48
273,distrustfully,2,1.48
274,lifetime,0,1.48
275,gentleman,0,1.47
276,straight,4,1.48
277,passenger,4,1.49
278,quavering,4,1.50
279,despatch,0,1.49
280,messenger,0,1.49
281,roadassisted,0,1.48
282,politely,0,1.48
283,passengers,2,1.48
284,immediately,0,1.48
285,scrambled,6,1.49
286,soliloquy,0,1.49
287,hoarsely,2,1.49
288,footpace,0,1.48
289,holsters,6,1.50
290,passenger,4,1.51
291,passenger,4,1.52
292,passenger,4,1.52
293,business,2,1.53
294,confidence,0,1.52
295,watchful,0,1.52
296,blunderbuss,2,1.52
297,horseman,0,1.51
298,answered,0,1.51
299,apprehend,0,1.50
300,tellsons,0,1.50
301,tellsons,2,1.50
302,business,2,1.50
303,coachlamp,2,1.50
304,readfirst,18,1.56
305,mamselle,0,1.55
306,recalled,2,1.55
307,hoarsest,0,1.55
308,received,2,1.55
309,passenger,4,1.56
310,coachdoor,2,1.56
311,assisted,0,1.55
312,fellowpassengers,0,1.55
313,expeditiously,0,1.54
314,secreted,6,1.56
315,pretence,4,1.57
316,definite,0,1.56
317,originating,0,1.56
318,lumbered,2,1.56
319,replaced,4,1.56
320,blunderbuss,2,1.57
321,armchest,2,1.57
322,contents,0,1.56
323,supplementary,0,1.56
324,tinderbox,0,1.55
325,furnished,0,1.55
326,completeness,0,1.54
327,coachlamps,2,1.54
328,occasionally,0,1.54
329,tolerable,2,1.54
330,coincidence,10,1.57
331,darkness,2,1.57
332,dismounted,2,1.57
333,meanwhile,0,1.56
334,standing,0,1.56
335,heavilysplashed,4,1.57
336,forelegs,0,1.56
337,messenger,2,1.56
338,glancing,8,1.58
339,recalled,2,1.58
340,recalling,2,1.59
341,wonderful,0,1.58
342,creature,2,1.58
343,constituted,0,1.58
344,profound,0,1.57
345,consideration,0,1.57
346,clustered,0,1.56
347,encloses,0,1.56
348,encloses,2,1.56
349,hundreds,0,1.56
350,thousands,0,1.55
351,imaginings,0,1.55
352,something,0,1.54
353,awfulness,0,1.54
354,referable,4,1.55
355,unfathomable,0,1.54
356,momentary,0,1.54
357,glimpses,0,1.53
358,treasure,4,1.54
359,submerged,2,1.54
360,appointed,0,1.54
361,appointed,2,1.54
362,ignorance,0,1.53
363,neighbour,0,1.53
364,inexorable,0,1.52
365,consolidation,0,1.52
366,perpetuation,0,1.52
367,individuality,2,1.52
368,burialplaces,0,1.51
369,inscrutable,4,1.52
370,inhabitants,0,1.52
371,innermost,0,1.51
372,personality,0,1.51
373,alienated,4,1.51
374,inheritance,0,1.51
375,messenger,2,1.51
376,horseback,0,1.51
377,possessions,0,1.50
378,minister,0,1.50
379,merchant,0,1.50
380,passengers,2,1.50
381,lumbering,2,1.50
382,mysteries,2,1.50
383,complete,0,1.50
384,messenger,2,1.50
385,stopping,0,1.49
386,alehouses,4,1.50
387,evincing,0,1.50
388,tendency,0,1.49
389,assorted,0,1.49
390,decoration,0,1.48
391,togetheras,0,1.48
392,something,2,1.48
393,sinister,0,1.48
394,expression,2,1.48
395,cockedhat,0,1.48
396,threecornered,0,1.47
397,spittoon,0,1.47
398,descended,0,1.46
399,messenger,2,1.47
400,tradesman,4,1.47
401,business,2,1.47
402,recalled,2,1.48
403,drinking,0,1.47
404,perplexed,0,1.47
405,raggedly,0,1.46
406,standing,2,1.47
407,jaggedly,0,1.46
408,strongly,2,1.46
409,leapfrog,0,1.46
410,declined,6,1.47
411,dangerous,0,1.47
412,watchman,4,1.47
413,tellsons,2,1.47
414,authorities,2,1.48
415,uneasiness,2,1.48
416,numerous,0,1.47
417,mailcoach,0,1.47
418,lumbered,2,1.47
419,fellowinscrutables,0,1.47
420,likewise,4,1.47
421,revealed,2,1.48
422,themselves,0,1.47
423,wandering,4,1.48
424,thoughts,0,1.47
425,suggested,0,1.47
426,tellsons,2,1.47
427,passenger,4,1.48
428,leathern,0,1.47
429,pounding,0,1.47
430,passenger,4,1.48
431,whenever,2,1.48
432,joltnodded,0,1.47
433,halfshut,0,1.47
434,coachwindows,0,1.47
435,coachlamp,2,1.47
436,gleaming,2,1.47
437,opposite,0,1.47
438,passenger,4,1.47
439,business,2,1.47
440,honoured,0,1.47
441,tellsons,2,1.47
442,connection,0,1.47
443,strongrooms,0,1.47
444,underground,0,1.46
445,tellsons,2,1.46
446,valuable,0,1.46
447,passenger,4,1.47
448,feeblyburning,8,1.48
449,confused,2,1.48
450,presence,0,1.48
451,impression,0,1.47
452,multitude,0,1.47
453,themselves,2,1.47
454,indicate,2,1.47
455,differed,0,1.47
456,principally,2,1.47
457,passions,2,1.47
458,expressed,2,1.47
459,ghastliness,0,1.47
460,contempt,0,1.47
461,defiance,8,1.48
462,stubbornness,0,1.48
463,submission,2,1.48
464,lamentation,0,1.48
465,succeeded,0,1.47
466,varieties,4,1.48
467,cadaverous,2,1.48
468,emaciated,0,1.48
469,prematurely,0,1.47
470,passenger,4,1.48
471,inquired,0,1.48
472,eighteen,0,1.47
473,abandoned,2,1.47
474,recalled,2,1.47
475,question,0,1.47
476,contradictory,0,1.47
477,sometimes,6,1.48
478,sometimes,8,1.49
479,sometimes,8,1.51
480,bewildered,0,1.50
481,understand,0,1.50
482,imaginary,2,1.50
483,discourse,0,1.50
484,passenger,4,1.50
485,wretched,2,1.50
486,creature,2,1.50
487,suddenly,2,1.51
488,passenger,4,1.51
489,roadside,0,1.51
490,retreating,0,1.50
491,bankinghouse,2,1.51
492,business,2,1.51
493,returned,2,1.51
494,eighteen,2,1.51
495,digdigdiguntil,0,1.51
496,impatient,0,1.50
497,movement,0,1.50
498,passengers,2,1.50
499,admonish,4,1.51
500,securely,2,1.51
501,leathern,2,1.51
502,speculate,0,1.50
503,slumbering,2,1.50
504,eighteen,2,1.51
505,abandoned,4,1.51
506,spokendistinctly,0,1.51
507,lifewhen,0,1.50
508,passenger,4,1.51
509,consciousness,4,1.51
510,daylight,2,1.52
511,ploughed,2,1.52
512,coppicewood,0,1.51
513,remained,4,1.52
514,beautiful,0,1.52
515,eighteen,2,1.52
516,passenger,4,1.52
517,gracious,6,1.53
518,eighteen,2,1.53
519,preparation,0,1.53
520,successfully,0,1.52
521,forenoon,0,1.52
522,coachdoor,2,1.52
523,flourish,2,1.52
524,ceremony,14,1.55
525,achievement,2,1.55
526,congratulate,0,1.55
527,adventurous,4,1.55
528,traveller,2,1.55
529,adventurous,6,1.56
530,traveller,4,1.56
531,congratulated,0,1.56
532,respective,0,1.56
533,roadside,2,1.56
534,destinations,0,1.56
535,disagreeable,0,1.55
536,obscurity,0,1.55
537,dogkennel,6,1.56
538,passenger,4,1.56
539,flapping,0,1.56
540,tomorrow,2,1.56
541,tolerable,2,1.56
542,afternoon,0,1.56
543,breakfast,6,1.57
544,gentlemans,0,1.56
545,gentlemans,2,1.57
546,bedchamber,10,1.58
547,assigned,4,1.59
548,passenger,4,1.59
549,passengers,2,1.59
550,interest,4,1.59
551,establishment,0,1.59
552,although,0,1.59
553,varieties,6,1.60
554,consequently,0,1.59
555,landlady,4,1.60
556,loitering,4,1.60
557,accident,0,1.60
558,coffeeroom,0,1.60
559,gentleman,2,1.60
560,formally,0,1.59
561,breakfast,8,1.61
562,coffeeroom,2,1.61
563,occupant,8,1.62
564,forenoon,2,1.62
565,gentleman,2,1.62
566,breakfasttable,0,1.62
567,portrait,4,1.62
568,methodical,4,1.62
569,sonorous,0,1.62
570,waistcoat,0,1.62
571,longevity,0,1.62
572,evanescence,0,1.61
573,stockings,2,1.61
574,presumed,8,1.63
575,filaments,2,1.63
576,fineness,14,1.65
577,accordance,2,1.65
578,stockings,4,1.65
579,neighbouring,0,1.65
580,sunlight,0,1.65
581,habitually,0,1.64
582,suppressed,0,1.64
583,composed,2,1.64
584,reserved,0,1.64
585,expression,4,1.64
586,tellsons,2,1.64
587,confidential,6,1.65
588,bachelor,4,1.65
589,tellsons,2,1.66
590,principally,4,1.66
591,occupied,0,1.66
592,secondhand,0,1.65
593,secondhand,2,1.65
594,completing,0,1.65
595,resemblance,2,1.65
596,portrait,6,1.66
597,breakfast,8,1.67
598,accommodation,0,1.67
599,prepared,0,1.66
600,gentleman,2,1.67
601,tellsons,2,1.67
602,tellsons,2,1.67
603,oftentimes,0,1.66
604,entertain,2,1.66
605,gentlemen,2,1.66
606,travelling,2,1.67
607,backwards,0,1.66
608,forwards,4,1.67
609,travelling,4,1.67
610,companys,0,1.67
611,travelling,4,1.67
612,yourself,2,1.67
613,flourishing,0,1.67
614,rounding,0,1.67
615,backward,0,1.66
616,comfortable,2,1.66
617,attitude,0,1.66
618,surveying,2,1.66
619,observatory,0,1.66
620,watchtower,0,1.66
621,according,0,1.65
622,immemorial,0,1.65
623,finished,0,1.65
624,breakfast,8,1.66
625,tumbling,0,1.66
626,destruction,2,1.66
627,thundered,0,1.65
628,thundered,2,1.65
629,piscatory,0,1.65
630,supposed,0,1.65
631,quantity,0,1.65
632,strolling,0,1.64
633,particularly,10,1.66
634,tradesmen,0,1.65
635,business,2,1.66
636,whatever,4,1.66
637,sometimes,8,1.67
638,unaccountably,0,1.67
639,realised,4,1.67
640,fortunes,0,1.67
641,remarkable,0,1.66
642,neighbourhood,2,1.67
643,lamplighter,2,1.67
644,declined,8,1.68
645,afternoon,2,1.68
646,intervals,0,1.67
647,thoughts,2,1.67
648,coffeeroom,2,1.67
649,awaiting,0,1.67
650,breakfast,8,1.68
651,otherwise,2,1.68
652,tendency,2,1.68
